110,زوج سبيكه كرسي افيكو 104 تربو ( 010 ) - تركي,1,افيكو
111,زوج سبيكه بيئل افيكو 104 تربو ( 020 ) - تركي,1,افيكو
112,زوج سبيكه كرسي افيكو 104 تربو ( 020 ) - تركي,1,افيكو
113,زوج سبيكه بيئل افيكو 104 تربو ( 030 ) -- تركي,1,افيكو
114,زوج سبيكه كرسي افيكو 104 تربو ( 030 ) - تركي,1,افيكو
115,زوج سبيكه بيئل افيكو 104 تربو ( 040 ) - تركي,1,افيكو
116,زوج سبيكه كرسي افيكو 104 تربو ( 040 ) - تركي,1,افيكو
118,طقم هلال كرنك 912 - STD - تركي,9,نصر
120,سبيكه جلب بيئل افيكو103 STD SIM - تركي,1,افيكو
121,طقم جلب بيئل افيكو104 - STD - SIM - تركي,1,افيكو
122,سبيكه جلب كامه افيكو 104 - STD - تركي,1,افيكو
123,جلبه كامه افيكو104 - STD SIM - تركي,1,افيكو
124,جلبه كامه افيكو104 - STD - تركي,1,افيكو
125,جلبه كامه افيكو104 تركي- (STD) SIM,1,افيكو
126,بستم 413 نصر (125.50 مللي ) - ينماك,9,نصر
127,بستم 413( 125.00 مللي ) - ينماك,9,نصر
128,بستم 413 ( 126.00 مللي) - ينماك,9,نصر
129,بستم 912 ( 101.00 مللي ) - ينماك,9,نصر
130,بستم 913 تربو ( 102.00 مللي )بنز تخين تربو - ينماك,9,نصر
131,بستم اسكانيا ( 127.00 مللي ) مسلوب - ينماك,3,اسكانيا - نقل
132,بستم اسكانيا ( 127 مللي ) عادي - ينماك,3,اسكانيا - نقل
133,بستم افيكو ( 104 مللي ) تربو - ينماك,1,افيكو
134,بستم افيكو ( 104 مللي ) بقرش تربو - ينماك,1,افيكو
135,بستم افيكو ( 104 مللي ) عاده - ينماك,1,افيكو
136,بستم افيكو ( 104.40 مللي ) تربو - ينماك,1,افيكو
137,بستم افيكو ( 120 مللي ) / 8460 - ينماك,1,افيكو
138,بستم افيكو ( 137 مللي ) ايرو تراكر - ينماك,1,افيكو
139,بستم افيكو 33030 ( 137 مللي ) - ينماك,1,افيكو
140,بستم بالشنبر والشميز مرسيدس غزاله M128 - ينماك,2,مرسيدس - نقل
141,بستم كمبروسور اسكانيا ( 75 مللي ) - ينماك,3,اسكانيا - نقل
142,بستم كمبروسور اسكانيا ( 75.25 مللي ) - ينماك,3,اسكانيا - نقل
143,بستم كمبروسور اسكانيا ( 75.5 مللي ) - ينماك,3,اسكانيا - نقل
144,بستم كمبروسور افيكو ايروتراكر ( 82 مللي ) - ينماك,1,افيكو
145,بستم كمبروسور افيكو ايروتراكر (82.5 )مللي - ينماك,1,افيكو
146,بستم كمبروسور مرسيدس ( 90 مللي ) - ينماك,2,مرسيدس - نقل
147,بستم كمبروسور مرسيدس (.90.5مللي ) - ينماك,2,مرسيدس - نقل
148,بستم مان ( 125 ) مللي - ينماك,4,مان - نقل
149,بستم مان (125 ) مللي - ينماك,4,مان - نقل
151,بستم مرسيدس ( 128 مللي ) OM355 - ينماك,2,مرسيدس - نقل
152,بستم مرسيدس ( 128.5 مللي ) OM355 - ينماك,2,مرسيدس - نقل
153,بستم مرسيدس ( 128 مللي ) OM421 - ينماك,2,مرسيدس - نقل
154,بستم مرسيدس ( 129 مللي ) OM355 - ينماك,2,مرسيدس - نقل
155,بستم مرسيدس ( 130 مللي )29 - ينماك,2,مرسيدس - نقل
156,بستم مرسيدس OM422 - ينماك,2,مرسيدس - نقل
157,بستم مرسيدس كمبروسور( 90.00 ) مللي4 شنمبر - ينماك,2,مرسيدس - نقل
158,بستم مرسيدس كمبروسور( 90.50)مللي 4 شنمبر - ينماك,2,مرسيدس - نقل
